# Copyright (C) 1991-2007 Altera Corporation
# Your use of Altera Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Altera Program License 
# Subscription Agreement, Altera MegaCore Function License 
# Agreement, or other applicable license agreement, including, 
# without limitation, that your use is for the sole purpose of 
# programming logic devices manufactured by Altera and sold by 
# Altera or its authorized distributors.  Please refer to the 
# applicable agreement for further details.

# Quartus II Version 7.2 Build 151 09/26/2007 SJ Web Edition
# File: D:\Faculdade\IC_VHDL\Developments\Prewitt_Filter_VHDL\PrewittVHDL_1.0\quartus\decod7seg\decod7seg.csv
# Generated on: Fri Aug 24 09:00:55 2012

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus II software.

To,Direction,Location,I/O Bank,Vref Group,I/O Standard,Reserved,Group
,Unknown,PIN_N20,5,B5_N1,3.3-V LVTTL,,
,Unknown,PIN_M20,5,B5_N1,3.3-V LVTTL,,
,Unknown,PIN_M19,5,B5_N1,3.3-V LVTTL,,
,Unknown,PIN_M23,5,B5_N1,3.3-V LVTTL,,
,Unknown,PIN_M22,5,B5_N1,3.3-V LVTTL,,
,Unknown,PIN_K26,5,B5_N1,3.3-V LVTTL,,
,Unknown,PIN_K25,5,B5_N1,3.3-V LVTTL,,
,Unknown,PIN_L19,5,B5_N1,3.3-V LVTTL,,
,Unknown,PIN_L25,5,B5_N1,3.3-V LVTTL,,
,Unknown,PIN_L24,5,B5_N1,3.3-V LVTTL,,
,Unknown,PIN_L23,5,B5_N1,3.3-V LVTTL,,
,Unknown,PIN_J26,5,B5_N1,3.3-V LVTTL,,
,Unknown,PIN_J25,5,B5_N1,3.3-V LVTTL,,
,Unknown,PIN_L20,5,B5_N1,3.3-V LVTTL,,
,Unknown,PIN_L21,5,B5_N1,3.3-V LVTTL,,
,Unknown,PIN_K24,5,B5_N1,3.3-V LVTTL,,
,Unknown,PIN_K23,5,B5_N1,3.3-V LVTTL,,
,Unknown,PIN_K21,5,B5_N1,3.3-V LVTTL,,
,Unknown,PIN_K19,5,B5_N1,3.3-V LVTTL,,
,Unknown,PIN_K18,5,B5_N1,3.3-V LVTTL,,
,Unknown,PIN_H19,5,B5_N1,3.3-V LVTTL,,
,Unknown,PIN_H26,5,B5_N1,3.3-V LVTTL,,
,Unknown,PIN_H25,5,B5_N1,3.3-V LVTTL,,
,Unknown,PIN_J24,5,B5_N1,3.3-V LVTTL,,
,Unknown,PIN_J23,5,B5_N1,3.3-V LVTTL,,
,Unknown,PIN_H24,5,B5_N1,3.3-V LVTTL,,
,Unknown,PIN_H23,5,B5_N1,3.3-V LVTTL,,
,Unknown,PIN_G26,5,B5_N0,3.3-V LVTTL,,
,Unknown,PIN_G25,5,B5_N0,3.3-V LVTTL,,
,Unknown,PIN_K22,5,B5_N0,3.3-V LVTTL,,
,Unknown,PIN_G24,5,B5_N0,3.3-V LVTTL,,
,Unknown,PIN_G23,5,B5_N0,3.3-V LVTTL,,
,Unknown,PIN_P18,5,B5_N0,3.3-V LVTTL,,
,Unknown,PIN_N18,5,B5_N0,3.3-V LVTTL,,
,Unknown,PIN_F26,5,B5_N0,3.3-V LVTTL,,
,Unknown,PIN_F25,5,B5_N0,3.3-V LVTTL,,
